,日経平均,,NYダウ,,欧州（ストックス600）,,中国（上海総合）,,VIX指数（米国株の予想変動率）,,ドル/円,,ユーロ/円,,ドル/元,,日本,,米国,,原油（WTI）,,金（米先物）
↑,94.08999999999651,↓,57.93999999999505,↓,4.989999999999952,↑,3.714599999999791,↑,0.7200000000000006,↓円安,0.3499999999999943,↑円高,0.15000000000000568,↓元安,0.0034999999999998366,↑,0.0020000000000000018,↓,0.019099999999999895,↑,0.5599999999999881,↑,28.700000000000273
2024/06/14,38814.56,2024/06/14,38589.16,2024/06/14,511.05,2024/06/14,3032.6333,2024/06/14,12.66,2024/06/14,157.37,2024/06/14,168.45,2024/06/14,7.2557,2024/06/14,0.932,2024/06/14,4.2209,2024/06/14,78.49,2024/06/14,2348.4
2024/06/13,38720.47,2024/06/13,38647.1,2024/06/13,516.04,2024/06/13,3028.9187,2024/06/13,11.94,2024/06/13,157.02,2024/06/13,168.6,2024/06/13,7.2522,2024/06/14,0.93,2024/06/13,4.24,2024/06/13,77.93,2024/06/13,2319.7
2024/06/12,38876.71,2024/06/12,38712.21,2024/06/12,522.89,2024/06/12,3037.4675,2024/06/12,12.04,2024/06/12,156.71,2024/06/12,169.38,2024/06/12,7.238,2024/06/13,0.968,2024/06/12,4.295,2024/06/12,78.32,2024/06/12,2340.7
2024/06/11,39134.79,2024/06/11,38747.42,2024/06/11,517.29,2024/06/11,3028.0451,2024/06/11,12.85,2024/06/11,157.07,2024/06/11,168.74,2024/06/11,7.2544,2024/06/12,0.988,2024/06/11,4.402,2024/06/11,78.18,2024/06/11,2333.9
2024/06/10,39038.16,2024/06/10,38868.04,2024/06/10,522.16,2024/06/07,3051.2787,2024/06/10,12.74,2024/06/10,157.02,2024/06/10,169.02,2024/06/10,7.2475,2024/06/11,1.025,2024/06/10,4.469,2024/06/10,78.23,2024/06/10,2328.0
2024/06/07,38683.93,2024/06/07,38798.99,2024/06/07,523.55,2024/06/06,3048.7939,2024/06/07,12.22,2024/06/07,156.7,2024/06/07,169.3,2024/06/07,7.2475,2024/06/10,1.036,2024/06/07,4.428,2024/06/07,75.38,2024/06/07,2311.1
2024/06/06,38703.51,2024/06/06,38886.17,2024/06/06,524.68,2024/06/05,3065.4034,2024/06/06,12.58,2024/06/06,155.6,2024/06/06,169.44,2024/06/06,7.2447,2024/06/07,0.976,2024/06/06,4.281,2024/06/06,75.67,2024/06/06,2395.2
2024/06/05,38490.17,2024/06/05,38807.33,2024/06/05,521.23,2024/06/04,3091.1992,2024/06/05,12.63,2024/06/05,156.1,2024/06/05,169.65,2024/06/05,7.2476,2024/06/06,0.961,2024/06/05,4.289,2024/06/05,74.29,2024/06/05,2375.3
2024/06/04,38837.46,2024/06/04,38711.29,2024/06/04,517.05,2024/06/03,3078.4887,2024/06/04,13.16,2024/06/04,154.87,2024/06/04,168.48,2024/06/04,7.2393,2024/06/05,1.0,2024/06/04,4.336,2024/06/04,72.92,2024/06/04,2346.4
